danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,target
0.31,0.146,0,-19.278,1,0.0303,0.99,0.261,0.076,0.333,162.831,audio_features,7rIhp6EWLNtM8qFIQruJPT,spotify:track:7rIhp6EWLNtM8qFIQruJPT,https://api.spotify.com/v1/tracks/7rIhp6EWLNtM8qFIQruJPT,https://api.spotify.com/v1/audio-analysis/7rIhp6EWLNtM8qFIQruJPT,298587,3,1
0.436,0.627,4,-6.703,0,0.0274,0.236,0.12,0.364,0.135,169.998,audio_features,4BRq5i9CMo368xNntmsYXV,spotify:track:4BRq5i9CMo368xNntmsYXV,https://api.spotify.com/v1/tracks/4BRq5i9CMo368xNntmsYXV,https://api.spotify.com/v1/audio-analysis/4BRq5i9CMo368xNntmsYXV,278096,4,1
0.661,0.918,11,-5.158,1,0.0484,0.00551,0.704,0.0946,0.552,130.015,audio_features,0hMYZ0SzMJm5Uwbp5MtRYn,spotify:track:0hMYZ0SzMJm5Uwbp5MtRYn,https://api.spotify.com/v1/tracks/0hMYZ0SzMJm5Uwbp5MtRYn,https://api.spotify.com/v1/audio-analysis/0hMYZ0SzMJm5Uwbp5MtRYn,195226,4,1
0.529,0.31,8,-9.759,0,0.0289,0.931,0.236,0.148,0.211,124.074,audio_features,2OlN0orQ7RNyBYkOcbbLQk,spotify:track:2OlN0orQ7RNyBYkOcbbLQk,https://api.spotify.com/v1/tracks/2OlN0orQ7RNyBYkOcbbLQk,https://api.spotify.com/v1/audio-analysis/2OlN0orQ7RNyBYkOcbbLQk,145325,3,1
0.801,0.819,11,-5.189,1,0.158,0.292,0.0,0.515,0.811,139.969,audio_features,0O3TAouZE4vL9dM5SyxgvH,spotify:track:0O3TAouZE4vL9dM5SyxgvH,https://api.spotify.com/v1/tracks/0O3TAouZE4vL9dM5SyxgvH,https://api.spotify.com/v1/audio-analysis/0O3TAouZE4vL9dM5SyxgvH,236280,4,1
0.555,0.536,7,-8.233,1,0.0452,0.669,0.0,0.0623,0.203,118.057,audio_features,1mw0RgNXIpYRyyCdBQbLgA,spotify:track:1mw0RgNXIpYRyyCdBQbLgA,https://api.spotify.com/v1/tracks/1mw0RgNXIpYRyyCdBQbLgA,https://api.spotify.com/v1/audio-analysis/1mw0RgNXIpYRyyCdBQbLgA,191638,4,1
0.35,0.775,11,-3.364,1,0.054,0.00433,0.283,0.0676,0.588,199.866,audio_features,6u0x5ad9ewHvs3z6u9Oe3c,spotify:track:6u0x5ad9ewHvs3z6u9Oe3c,https://api.spotify.com/v1/tracks/6u0x5ad9ewHvs3z6u9Oe3c,https://api.spotify.com/v1/audio-analysis/6u0x5ad9ewHvs3z6u9Oe3c,235547,4,1
0.682,0.251,5,-12.824,1,0.244,0.664,1.06e-05,0.144,0.419,80.041,audio_features,0JaN65P0DapRjboDEv2g08,spotify:track:0JaN65P0DapRjboDEv2g08,https://api.spotify.com/v1/tracks/0JaN65P0DapRjboDEv2g08,https://api.spotify.com/v1/audio-analysis/0JaN65P0DapRjboDEv2g08,157880,4,1
0.443,0.733,7,-5.774,0,0.0504,0.253,0.876,0.255,0.434,115.078,audio_features,2DebCY3BIgzpHZLsGfiZpH,spotify:track:2DebCY3BIgzpHZLsGfiZpH,https://api.spotify.com/v1/tracks/2DebCY3BIgzpHZLsGfiZpH,https://api.spotify.com/v1/audio-analysis/2DebCY3BIgzpHZLsGfiZpH,221524,3,1
0.684,0.866,1,-6.881,1,0.031,0.0144,0.00556,0.175,0.654,109.976,audio_features,1CC3sbNapIE3ABGUdpp2oU,spotify:track:1CC3sbNapIE3ABGUdpp2oU,https://api.spotify.com/v1/tracks/1CC3sbNapIE3ABGUdpp2oU,https://api.spotify.com/v1/audio-analysis/1CC3sbNapIE3ABGUdpp2oU,204173,4,1
0.509,0.425,10,-10.649,1,0.0289,0.704,0.0517,0.098,0.207,70.956,audio_features,7iPr9lOD3Kr1YLFbkELrBU,spotify:track:7iPr9lOD3Kr1YLFbkELrBU,https://api.spotify.com/v1/tracks/7iPr9lOD3Kr1YLFbkELrBU,https://api.spotify.com/v1/audio-analysis/7iPr9lOD3Kr1YLFbkELrBU,195587,4,1
0.453,0.34,1,-12.595,1,0.0345,0.941,0.0643,0.122,0.107,119.736,audio_features,6iJHZuNX51xpsgenMbxSNL,spotify:track:6iJHZuNX51xpsgenMbxSNL,https://api.spotify.com/v1/tracks/6iJHZuNX51xpsgenMbxSNL,https://api.spotify.com/v1/audio-analysis/6iJHZuNX51xpsgenMbxSNL,326330,4,1
0.631,0.826,9,-6.165,1,0.146,0.247,0.000308,0.107,0.556,90.05,audio_features,0Q2FDq304w57PGAKKcC3Qk,spotify:track:0Q2FDq304w57PGAKKcC3Qk,https://api.spotify.com/v1/tracks/0Q2FDq304w57PGAKKcC3Qk,https://api.spotify.com/v1/audio-analysis/0Q2FDq304w57PGAKKcC3Qk,225947,4,1
0.642,0.507,2,-7.301,1,0.0299,0.189,0.00168,0.586,0.583,113.131,audio_features,29Hg1jaX5ZY5miqr3ScQSn,spotify:track:29Hg1jaX5ZY5miqr3ScQSn,https://api.spotify.com/v1/tracks/29Hg1jaX5ZY5miqr3ScQSn,https://api.spotify.com/v1/audio-analysis/29Hg1jaX5ZY5miqr3ScQSn,162123,4,1
0.756,0.697,11,-7.962,0,0.0459,0.00685,0.00978,0.655,0.642,120.027,audio_features,37ZDfygEHF7SMoYGDqM1uv,spotify:track:37ZDfygEHF7SMoYGDqM1uv,https://api.spotify.com/v1/tracks/37ZDfygEHF7SMoYGDqM1uv,https://api.spotify.com/v1/audio-analysis/37ZDfygEHF7SMoYGDqM1uv,308000,4,1
0.766,0.442,1,-8.558,1,0.356,0.000107,6.12e-05,0.111,0.39,201.8,audio_features,4Kz4RdRCceaA9VgTqBhBfa,spotify:track:4Kz4RdRCceaA9VgTqBhBfa,https://api.spotify.com/v1/tracks/4Kz4RdRCceaA9VgTqBhBfa,https://api.spotify.com/v1/audio-analysis/4Kz4RdRCceaA9VgTqBhBfa,181573,4,1
0.133,0.288,10,-13.812,1,0.0323,0.956,0.183,0.0743,0.11,88.653,audio_features,22RBQ5jqGycGYRSsH1u0qx,spotify:track:22RBQ5jqGycGYRSsH1u0qx,https://api.spotify.com/v1/tracks/22RBQ5jqGycGYRSsH1u0qx,https://api.spotify.com/v1/audio-analysis/22RBQ5jqGycGYRSsH1u0qx,297573,4,1
